,name,prices,rating
0,Peaks 3000W DC12V-AC220V Modified Sine Wave Inverter,"₦ 28,143",3.9 out of 5
1,1500W Car Inverter With USB Ports - Multipurpose,"₦ 16,150",4 out of 5
2,Power Inverter 4000W Peaks DC12V To AC220V Portable,"₦ 31,670",3.8 out of 5
3,Modified Sine Wave Inverter 4000W Peak DC12V-AC220V,"₦ 35,548",3.5 out of 5
4,Solar Charge Controller Set - 300W Power Inverter +18W Solar Panel +30A Solar Charge Controller,"₦ 59,990",3.9 out of 5
5,Modified Sine Wave Inverter 300W DC12V To AC220V + 30A Solar Charge Controller +  Solar Panel,"₦ 69,990 - ₦ 82,990",None
6,6000W Peaks Power Inverter Modified Sine Wave DC12V-AC220V,"₦ 54,910",3.4 out of 5
7,1200W 2000W DC 12V AC 220V PURE SINE WAVE POWER INVERTER FOR CAR HOME,"₦ 66,254 - ₦ 112,436",5 out of 5
8,Modified Sine Wave Inverter High Frequency 6000W  Watt,"₦ 70,870",4 out of 5
9,DC (24V) AC 220V PURE SINE WAVE POWER INVERTER FOR CAR HOME,"₦ 99,315",4 out of 5
10,Modified Sine Wave Inverter 6000W DC12V-AC220V,"₦ 73,810",4 out of 5
11,High Power Vehicle DC12V-AC220V Modified Sine Wave Inverter,"₦ 20,000",4.2 out of 5
12,150W Car Power Inverter DC 12V To 220V AC,"₦ 18,000",4.4 out of 5
13,EASUN POWER 3.2KW Solar Inverters For Home Pure SineWave MTTP,"₦ 441,970",None
14,4000W Car Inverter Socket Adapter Socket Inverter,"₦ 35,890",None
15,Super Vision Solar Generator 30w With 6 Bulbs,"₦ 188,000",4.5 out of 5
16,Car 150W Car Inverter 150 Watt  Power Inverter USB & Socket,"₦ 18,980",None
17,Car 150W Car Inverter Adapter 150 Watt Power Inverter  DC - AC,"₦ 14,690",None
18,Mercury 2400VA (2.4KVA)Modified Sine Wave Inverter With Charger,"₦ 248,000",4.4 out of 5
19,6000W Pure Sine Wave Power Inverter Car Inverter Universal Socket 12V To 220V Power Converter For Car Home Outdoor-24v To 220v 50hz,"₦ 166,900",None
20,300W Power Inverter DC 12V To AC 220V Car Charger Converter,"₦ 25,990",None
21,DC 12V To AC 220V Car Power Inverter 3000W Rated Power 300W,"₦ 34,580",4.3 out of 5
22,Must 100% Genuine Original MUST 5kva 48v Hybrid VHM Solar Inverter ( Heavy Duty With Transformer Base Mechanism),"₦ 689,900",5 out of 5
23,10000W Car Inverter DC 12V To AC 220V Multi-function Home Outdoor Travel Modified Sine Wave Voltage Converter Adapter-24V To 220V,"₦ 101,900",5 out of 5
24,200W Car Inverter 12V DC To 110V AC Power Converter LED Display 4 USB Port Pure Sine Wave Fast Charging Car Inverter Charger-Black,"₦ 73,900",None
25,Ipowerplus 3KVA/24V Inverter - Black And White,"₦ 465,000",None
26,DC 12V To AC 220V Car Power Inverter Peaks Power 4000W Rated Power 300W,"₦ 47,541",5 out of 5
27,Car Power Inverter 150W With USB Port,"₦ 17,000",4 out of 5
28,Super Vision Solar Generator 30w With 6 Bulbs,"₦ 180,000",None
29,Famicare INVERTER 1000W 1KVA SOLAR BATTERY POWER INVERTER,"₦ 640,000",None
30,150W Portable Car Inverter,"₦ 16,500",4.3 out of 5
31,10000W Car Inverter DC 12V To AC 220V Multi-function Home Outdoor Travel Modified Sine Wave Voltage Converter Adapter-12 To 220V,"₦ 87,953",None
32,"6000W Power Inverter Portable Converter, DC12V/24V To AC220V, Corrected Sine Wave Decorative Tool, Home And Outdoor-DC24V TO AC 220V","₦ 79,900",None
33,2000w Inverter With Digital Display Light 12v & 24v Auto,"₦ 65,000",None
34,Super Vision Solar Generator 20w With 6 Bulbs And One Free Inverter,"₦ 190,000",3 out of 5
35,DC-AC 12V-220V Inverter Boost Power Module High Energy Efficiency Long NO5117,"₦ 4,844",None
36,2000W Inverter - Digital Dispaly With 10A Inbuilt Charger 12V,"₦ 60,000",None
37,Mercury 1.2kva/12v,"₦ 185,000",3 out of 5
38,Subwoofer Board Circuit Bass TDA2030A Amp LEORY Board Audio Amplifier Dual Channel 30W Board Power Speaker 12V DIY,"₦ 20,928",None
39,150 Watt Dc Movable Car Inverter,"₦ 16,550",4.7 out of 5
